filename	tissue	sample	direction	fragmentlength	valid	species	scilifeid	qualtype	sampletype	sampleid	strand_specific
rat/E100006697/E100006697_L01_116_1.fq.gz	abdominaladiposetissue	a	fwd	100	1	rat	E100006697_116	MGISEQ2000	tissue	adib_female.1	0
rat/E100006697/E100006697_L01_116_2.fq.gz	abdominaladiposetissue	a	rev	100	1	rat	E100006697_116	MGISEQ2000	tissue	adib_female.1	0
rat/E100006698/E100006698_L01_94_1.fq.gz	abdominaladiposetissue	b	fwd	100	1	rat	E100006698_94	MGISEQ2000	tissue	adib_female.4	0
rat/E100006698/E100006698_L01_94_2.fq.gz	abdominaladiposetissue	b	rev	100	1	rat	E100006698_94	MGISEQ2000	tissue	adib_female.4	0
rat/E100006702/E100006702_L01_44_1.fq.gz	abdominaladiposetissue	a	fwd	100	1	rat	E100006702_44	MGISEQ2000	tissue	adib_male.4	0
rat/E100006702/E100006702_L01_44_2.fq.gz	abdominaladiposetissue	a	rev	100	1	rat	E100006702_44	MGISEQ2000	tissue	adib_male.4	0
rat/E100006702/E100006702_L01_94_1.fq.gz	abdominaladiposetissue	a	fwd	100	1	rat	E100006702_94	MGISEQ2000	tissue	adib_female.4	0
rat/E100006702/E100006702_L01_94_2.fq.gz	abdominaladiposetissue	a	rev	100	1	rat	E100006702_94	MGISEQ2000	tissue	adib_female.4	0
rat/E100006703/E100006703_L01_1_1.fq.gz	abdominaladiposetissue	a	fwd	100	1	rat	E100006703_1	MGISEQ2000	tissue	adib_male.1	0
rat/E100006703/E100006703_L01_1_2.fq.gz	abdominaladiposetissue	a	rev	100	1	rat	E100006703_1	MGISEQ2000	tissue	adib_male.1	0
rat/E100006697/E100006697_L01_13_1.fq.gz	adrenalgland	a	fwd	100	1	rat	E100006697_13	MGISEQ2000	tissue	adr_female.4	0
rat/E100006697/E100006697_L01_13_2.fq.gz	adrenalgland	a	rev	100	1	rat	E100006697_13	MGISEQ2000	tissue	adr_female.4	0
rat/E100006702/E100006702_L01_2_1.fq.gz	adrenalgland	a	fwd	100	1	rat	E100006702_2	MGISEQ2000	tissue	adr_male.1	0
rat/E100006702/E100006702_L01_2_2.fq.gz	adrenalgland	a	rev	100	1	rat	E100006702_2	MGISEQ2000	tissue	adr_male.1	0
rat/E100006702/E100006702_L01_46_1.fq.gz	adrenalgland	a	fwd	100	1	rat	E100006702_46	MGISEQ2000	tissue	adr_male.4	0
rat/E100006702/E100006702_L01_46_2.fq.gz	adrenalgland	a	rev	100	1	rat	E100006702_46	MGISEQ2000	tissue	adr_male.4	0
rat/E100006702/E100006702_L01_73_1.fq.gz	adrenalgland	a	fwd	100	1	rat	E100006702_73	MGISEQ2000	tissue	adr_female.1	0
rat/E100006702/E100006702_L01_73_2.fq.gz	adrenalgland	a	rev	100	1	rat	E100006702_73	MGISEQ2000	tissue	adr_female.1	0
rat/E100006697/E100006697_L01_124_1.fq.gz	amygdala	a	fwd	100	1	rat	E100006697_124	MGISEQ2000	tissue	amygdala_male.3	0
rat/E100006697/E100006697_L01_124_2.fq.gz	amygdala	a	rev	100	1	rat	E100006697_124	MGISEQ2000	tissue	amygdala_male.3	0
rat/E100006697/E100006697_L01_44_1.fq.gz	amygdala	a	fwd	100	1	rat	E100006697_44	MGISEQ2000	tissue	amygdala_male.2	0
rat/E100006697/E100006697_L01_44_2.fq.gz	amygdala	a	rev	100	1	rat	E100006697_44	MGISEQ2000	tissue	amygdala_male.2	0
rat/E100006697/E100006697_L01_50_1.fq.gz	amygdala	a	fwd	100	1	rat	E100006697_50	MGISEQ2000	tissue	amygdala_female.3	0
rat/E100006697/E100006697_L01_50_2.fq.gz	amygdala	a	rev	100	1	rat	E100006697_50	MGISEQ2000	tissue	amygdala_female.3	0
rat/E100006698/E100006698_L01_58_1.fq.gz	amygdala	a	fwd	100	1	rat	E100006698_58	MGISEQ2000	tissue	amygdala_female.2	0
rat/E100006698/E100006698_L01_58_2.fq.gz	amygdala	a	rev	100	1	rat	E100006698_58	MGISEQ2000	tissue	amygdala_female.2	0
rat/E100006698/E100006698_L01_70_1.fq.gz	aorta	a	fwd	100	1	rat	E100006698_70	MGISEQ2000	tissue	aor_female.4	0
rat/E100006698/E100006698_L01_70_2.fq.gz	aorta	a	rev	100	1	rat	E100006698_70	MGISEQ2000	tissue	aor_female.4	0
rat/E100006699/E100006699_L01_1_1.fq.gz	aorta	a	fwd	100	1	rat	E100006699_1	MGISEQ2000	tissue	aor_male.1	0
rat/E100006699/E100006699_L01_1_2.fq.gz	aorta	a	rev	100	1	rat	E100006699_1	MGISEQ2000	tissue	aor_male.1	0
rat/E100006699/E100006699_L01_78_1.fq.gz	aorta	a	fwd	100	1	rat	E100006699_78	MGISEQ2000	tissue	aor_female.1	0
rat/E100006699/E100006699_L01_78_2.fq.gz	aorta	a	rev	100	1	rat	E100006699_78	MGISEQ2000	tissue	aor_female.1	0
rat/E100006700/E100006700_L01_76_1.fq.gz	aorta	a	fwd	100	1	rat	E100006700_76	MGISEQ2000	tissue	aor_male.4	0
rat/E100006700/E100006700_L01_76_2.fq.gz	aorta	a	rev	100	1	rat	E100006700_76	MGISEQ2000	tissue	aor_male.4	0
rat/E100006699/E100006699_L01_61_1.fq.gz	artery	a	fwd	100	1	rat	E100006699_61	MGISEQ2000	tissue	art_male.4	0
rat/E100006699/E100006699_L01_61_2.fq.gz	artery	a	rev	100	1	rat	E100006699_61	MGISEQ2000	tissue	art_male.4	0
rat/E100006701/E100006701_L01_16_1.fq.gz	artery	b	fwd	100	1	rat	E100006701_16	MGISEQ2000	tissue	art_female.4	0
rat/E100006701/E100006701_L01_16_2.fq.gz	artery	b	rev	100	1	rat	E100006701_16	MGISEQ2000	tissue	art_female.4	0
rat/E100006702/E100006702_L01_16_1.fq.gz	artery	a	fwd	100	1	rat	E100006702_16	MGISEQ2000	tissue	art_female.4	0
rat/E100006702/E100006702_L01_16_2.fq.gz	artery	a	rev	100	1	rat	E100006702_16	MGISEQ2000	tissue	art_female.4	0
rat/E100006697/E100006697_L01_55_1.fq.gz	bonemarrow	a	fwd	100	1	rat	E100006697_55	MGISEQ2000	tissue	bm_female.1	0
rat/E100006697/E100006697_L01_55_2.fq.gz	bonemarrow	a	rev	100	1	rat	E100006697_55	MGISEQ2000	tissue	bm_female.1	0
rat/E100006699/E100006699_L01_2_1.fq.gz	bonemarrow	a	fwd	100	1	rat	E100006699_2	MGISEQ2000	tissue	bm_male.1	0
rat/E100006699/E100006699_L01_2_2.fq.gz	bonemarrow	a	rev	100	1	rat	E100006699_2	MGISEQ2000	tissue	bm_male.1	0
rat/E100006699/E100006699_L01_62_1.fq.gz	bonemarrow	a	fwd	100	1	rat	E100006699_62	MGISEQ2000	tissue	bm_male.4	0
rat/E100006699/E100006699_L01_62_2.fq.gz	bonemarrow	a	rev	100	1	rat	E100006699_62	MGISEQ2000	tissue	bm_male.4	0
rat/E100006699/E100006699_L01_91_1.fq.gz	bonemarrow	a	fwd	100	1	rat	E100006699_91	MGISEQ2000	tissue	bm_female.4	0
rat/E100006699/E100006699_L01_91_2.fq.gz	bonemarrow	a	rev	100	1	rat	E100006699_91	MGISEQ2000	tissue	bm_female.4	0
rat/E100006695/E100006695_L01_96_1.fq.gz	breast	a	fwd	100	1	rat	E100006695_96	MGISEQ2000	tissue	bre_female.4	0
rat/E100006695/E100006695_L01_96_2.fq.gz	breast	a	rev	100	1	rat	E100006695_96	MGISEQ2000	tissue	bre_female.4	0
rat/E100006700/E100006700_L01_127_1.fq.gz	breast	a	fwd	100	1	rat	E100006700_127	MGISEQ2000	tissue	bre_female.1	0
rat/E100006700/E100006700_L01_127_2.fq.gz	breast	a	rev	100	1	rat	E100006700_127	MGISEQ2000	tissue	bre_female.1	0
rat/E100006702/E100006702_L01_96_1.fq.gz	breast	b	fwd	100	1	rat	E100006702_96	MGISEQ2000	tissue	bre_female.4	0
rat/E100006702/E100006702_L01_96_2.fq.gz	breast	b	rev	100	1	rat	E100006702_96	MGISEQ2000	tissue	bre_female.4	0
rat/E100006697/E100006697_L01_56_1.fq.gz	bronchus	a	fwd	100	1	rat	E100006697_56	MGISEQ2000	tissue	bro_female.1	0
rat/E100006697/E100006697_L01_56_2.fq.gz	bronchus	a	rev	100	1	rat	E100006697_56	MGISEQ2000	tissue	bro_female.1	0
rat/E100006701/E100006701_L01_42_1.fq.gz	bronchus	a	fwd	100	1	rat	E100006701_42	MGISEQ2000	tissue	bro_female.4	0
rat/E100006701/E100006701_L01_42_2.fq.gz	bronchus	a	rev	100	1	rat	E100006701_42	MGISEQ2000	tissue	bro_female.4	0
rat/E100006702/E100006702_L01_3_1.fq.gz	bronchus	a	fwd	100	1	rat	E100006702_3	MGISEQ2000	tissue	bro_male.1	0
rat/E100006702/E100006702_L01_3_2.fq.gz	bronchus	a	rev	100	1	rat	E100006702_3	MGISEQ2000	tissue	bro_male.1	0
rat/E100006702/E100006702_L01_48_1.fq.gz	bronchus	a	fwd	100	1	rat	E100006702_48	MGISEQ2000	tissue	bro_male.4	0
rat/E100006702/E100006702_L01_48_2.fq.gz	bronchus	a	rev	100	1	rat	E100006702_48	MGISEQ2000	tissue	bro_male.4	0
rat/E100006700/E100006700_L01_125_1.fq.gz	brownadipose	a	fwd	100	1	rat	E100006700_125	MGISEQ2000	tissue	badi_female.1	0
rat/E100006700/E100006700_L01_125_2.fq.gz	brownadipose	a	rev	100	1	rat	E100006700_125	MGISEQ2000	tissue	badi_female.1	0
rat/E100006701/E100006701_L01_41_1.fq.gz	brownadipose	a	fwd	100	1	rat	E100006701_41	MGISEQ2000	tissue	badi_female.4	0
rat/E100006701/E100006701_L01_41_2.fq.gz	brownadipose	a	rev	100	1	rat	E100006701_41	MGISEQ2000	tissue	badi_female.4	0
rat/E100006702/E100006702_L01_47_1.fq.gz	brownadipose	a	fwd	100	1	rat	E100006702_47	MGISEQ2000	tissue	badi_male.4	0
rat/E100006702/E100006702_L01_47_2.fq.gz	brownadipose	a	rev	100	1	rat	E100006702_47	MGISEQ2000	tissue	badi_male.4	0
rat/E100006703/E100006703_L01_3_1.fq.gz	brownadipose	a	fwd	100	1	rat	E100006703_3	MGISEQ2000	tissue	badi_male.1	0
rat/E100006703/E100006703_L01_3_2.fq.gz	brownadipose	a	rev	100	1	rat	E100006703_3	MGISEQ2000	tissue	badi_male.1	0
rat/E100006700/E100006700_L01_77_1.fq.gz	bulbourethralgland	a	fwd	100	1	rat	E100006700_77	MGISEQ2000	tissue	bul_male.4	0
rat/E100006700/E100006700_L01_77_2.fq.gz	bulbourethralgland	a	rev	100	1	rat	E100006700_77	MGISEQ2000	tissue	bul_male.4	0
rat/E100006698/E100006698_L01_67_1.fq.gz	caudateputamen	a	fwd	100	1	rat	E100006698_67	MGISEQ2000	tissue	caudate.putamen_male.2	0
rat/E100006698/E100006698_L01_67_2.fq.gz	caudateputamen	a	rev	100	1	rat	E100006698_67	MGISEQ2000	tissue	caudate.putamen_male.2	0
rat/E100006703/E100006703_L01_25_1.fq.gz	caudateputamen	a	fwd	100	1	rat	E100006703_25	MGISEQ2000	tissue	caudate.putamen_male.3	0
rat/E100006703/E100006703_L01_25_2.fq.gz	caudateputamen	a	rev	100	1	rat	E100006703_25	MGISEQ2000	tissue	caudate.putamen_male.3	0
rat/E100006703/E100006703_L01_34_1.fq.gz	caudateputamen	a	fwd	100	1	rat	E100006703_34	MGISEQ2000	tissue	caudate.putamen_female.2	0
rat/E100006703/E100006703_L01_34_2.fq.gz	caudateputamen	a	rev	100	1	rat	E100006703_34	MGISEQ2000	tissue	caudate.putamen_female.2	0
rat/E100006703/E100006703_L01_51_1.fq.gz	caudateputamen	a	fwd	100	1	rat	E100006703_51	MGISEQ2000	tissue	caudate.putamen_female.3	0
rat/E100006703/E100006703_L01_51_2.fq.gz	caudateputamen	a	rev	100	1	rat	E100006703_51	MGISEQ2000	tissue	caudate.putamen_female.3	0
rat/E100006697/E100006697_L01_51_1.fq.gz	cecum	a	fwd	100	1	rat	E100006697_51	MGISEQ2000	tissue	cec_male.1	0
rat/E100006697/E100006697_L01_51_2.fq.gz	cecum	a	rev	100	1	rat	E100006697_51	MGISEQ2000	tissue	cec_male.1	0
rat/E100006699/E100006699_L01_79_1.fq.gz	cecum	a	fwd	100	1	rat	E100006699_79	MGISEQ2000	tissue	cec_female.1	0
rat/E100006699/E100006699_L01_79_2.fq.gz	cecum	a	rev	100	1	rat	E100006699_79	MGISEQ2000	tissue	cec_female.1	0
rat/E100006700/E100006700_L01_78_1.fq.gz	cecum	a	fwd	100	1	rat	E100006700_78	MGISEQ2000	tissue	cec_male.4	0
rat/E100006700/E100006700_L01_78_2.fq.gz	cecum	a	rev	100	1	rat	E100006700_78	MGISEQ2000	tissue	cec_male.4	0
rat/E100006701/E100006701_L01_44_1.fq.gz	cecum	a	fwd	100	1	rat	E100006701_44	MGISEQ2000	tissue	cec_female.4	0
rat/E100006701/E100006701_L01_44_2.fq.gz	cecum	a	rev	100	1	rat	E100006701_44	MGISEQ2000	tissue	cec_female.4	0
rat/E100006695/E100006695_L01_36_1.fq.gz	cerebellum	a	fwd	100	1	rat	E100006695_36	MGISEQ2000	tissue	cerebellum_female.3	0
rat/E100006695/E100006695_L01_36_2.fq.gz	cerebellum	a	rev	100	1	rat	E100006695_36	MGISEQ2000	tissue	cerebellum_female.3	0
rat/E100006697/E100006697_L01_126_1.fq.gz	cerebellum	a	fwd	100	1	rat	E100006697_126	MGISEQ2000	tissue	cerebellum_male.3	0
rat/E100006697/E100006697_L01_126_2.fq.gz	cerebellum	a	rev	100	1	rat	E100006697_126	MGISEQ2000	tissue	cerebellum_male.3	0
rat/E100006697/E100006697_L01_16_1.fq.gz	cerebellum	a	fwd	100	1	rat	E100006697_16	MGISEQ2000	tissue	cerebellum_female.2	0
rat/E100006697/E100006697_L01_16_2.fq.gz	cerebellum	a	rev	100	1	rat	E100006697_16	MGISEQ2000	tissue	cerebellum_female.2	0
